pr_count,supplier_count,goods_receipt_count,invoice_count,payment_count,pr_to_po_hours,po_approval_hours,approval_to_supplier_hours,supplier_to_goods_hours,goods_to_invoice_hours,invoice_to_match_hours,match_to_payment_hours,rejection_count,predicted_delay,delay_probability,risk_level,main_bottleneck,priority,recommended_action
1,1,1,1,1,1.217,0.033,0.733,72.0,72.0,0.267,144.0,0,0,0.0855255536586731,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.3,0.3,0.7,72.0,48.0,0.9,48.0,0,0,0.0593314267905919,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.817,0.433,0.6,24.0,48.0,0.417,48.0,0,0,0.0205843938828258,Low,Goods Receipt to Invoice,Routine,Continue normal procurement processing with routine monitoring.
5,1,1,1,1,0.783,0.45,0.933,72.0,48.0,0.95,144.0,0,0,0.1272848690262483,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.167,0.283,0.533,48.0,24.0,0.133,72.0,0,0,0.0065526695526695,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
10,2,2,2,2,1.384,0.383,0.85,48.716,24.0,0.95,24.0,0,0,0.0273174603174603,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
2,1,1,1,1,1.767,0.8,0.717,120.0,48.0,0.833,240.0,0,1,0.9710476117568289,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
1,1,1,1,1,1.217,1.0,0.117,48.0,48.0,0.467,240.0,0,1,0.7579459905290522,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
1,1,1,1,1,1.767,0.75,0.017,48.0,24.0,0.117,96.0,0,0,0.0203771929824561,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
5,1,1,1,1,0.65,0.95,0.883,72.0,24.0,0.517,48.0,2,0,0.0456539210860916,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.8,0.717,0.667,24.0,24.0,0.15,240.0,0,0,0.4091048811831391,Medium,Matching to Payment,Monitor,Monitor invoice matching and payment processing.
3,1,1,1,1,1.75,0.033,0.867,120.0,48.0,0.85,192.0,0,1,0.8601089704922659,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
2,1,1,1,1,0.55,0.867,0.433,120.0,48.0,0.6,48.0,0,0,0.0941288716580743,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.933,0.85,0.717,120.0,72.0,0.667,240.0,0,1,0.9635266589953752,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
6,1,1,1,1,1.966,0.333,0.267,96.0,24.0,1.0,216.0,0,1,0.7414232317861351,Medium,Matching to Payment,Monitor,Monitor invoice matching and payment processing.
6,1,1,1,1,1.967,0.6,0.6,48.0,24.0,0.4,240.0,0,1,0.5957418478674873,Medium,Matching to Payment,Monitor,Monitor invoice matching and payment processing.
4,1,1,1,1,1.699,0.9,0.717,72.0,48.0,0.083,240.0,0,1,0.8385045409772056,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
2,1,1,1,1,0.9,0.4,0.267,48.0,72.0,0.817,48.0,0,0,0.0754770527165417,Low,Goods Receipt to Invoice,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.75,0.65,0.617,48.0,48.0,0.2,216.0,0,1,0.7836783560666684,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
8,2,2,2,2,0.85,0.6,0.917,120.0,24.0,0.4,96.0,1,0,0.0647142857142857,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.2,0.567,0.217,120.0,72.0,0.767,24.0,0,0,0.1508428010604933,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.9,0.1,0.883,120.0,72.0,0.85,24.0,0,0,0.1176980405941127,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
3,2,2,2,2,0.283,0.367,0.35,48.0,72.0,0.267,168.0,1,0,0.226729038125572,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,2,0.45,0.783,0.467,72.0,72.0,0.017,168.0,0,0,0.3741288083400384,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
5,1,1,1,1,1.15,0.667,0.133,96.0,48.0,0.633,72.0,0,0,0.0653258996939812,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.6,0.95,1.0,24.0,48.0,0.35,192.0,0,0,0.2566067732562223,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
2,1,1,1,2,1.2,0.933,0.45,96.0,48.0,0.9,96.0,0,0,0.1197255076038945,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.267,0.817,0.783,96.0,48.0,0.217,48.0,0,0,0.061365471190135,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
10,2,2,2,3,1.966,0.7,0.233,24.0,24.45,0.75,24.0,2,0,0.017003367003367,Low,Goods Receipt to Invoice,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.017,0.883,0.167,120.0,24.0,0.05,120.0,0,0,0.0856185834107098,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.417,0.95,0.633,96.0,24.0,0.95,24.0,0,0,0.1109290988330803,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
5,1,1,1,1,1.034,0.033,0.367,24.0,24.0,0.183,168.0,1,0,0.1016020074696545,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.283,0.333,0.417,24.0,24.0,0.133,192.0,0,0,0.1727061973114604,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.717,0.833,0.5,24.0,24.0,0.817,48.0,0,0,0.0196228070175438,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.25,0.7,0.517,72.0,48.0,0.467,240.0,0,1,0.8680821294516352,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
2,1,1,1,1,1.85,0.883,0.583,24.0,72.0,0.7,168.0,0,0,0.2638568584375373,Low,Matching to Payment,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,1.167,0.167,0.917,96.0,48.0,0.683,216.0,0,1,0.9171251613427944,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
1,1,1,1,1,0.667,0.767,0.25,96.0,72.0,0.783,168.0,0,1,0.833743564195453,High,Matching to Payment,Immediate,Prioritize invoice matching and payment processing.
1,1,1,1,1,0.617,0.733,0.333,120.0,72.0,0.85,144.0,0,1,0.5701296235689988,Medium,Matching to Payment,Monitor,Monitor invoice matching and payment processing.
5,1,1,1,2,2.101,0.35,0.433,96.0,24.0,0.133,72.0,1,0,0.0760435305435305,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
1,1,1,1,1,0.75,0.317,0.183,96.0,48.0,0.117,24.0,0,0,0.0457441827010792,Low,Supplier to Goods Receipt,Routine,Continue normal procurement processing with routine monitoring.
