event_id,event_type,timestamp,user,cost_center,object_id,object_type,total_amount,status,qualifier
E264,Create PR,2024-09-02 08:04:53+00:00,User17,CC11,PR31,Purchase Requisition,2873.66,,
E531,Create PR,2024-09-02 08:04:53+00:00,User42,CC15,PR63,Purchase Requisition,5952.82,,
E2244,Create PR,2024-09-02 08:04:54+00:00,User31,CC9,PR272,Purchase Requisition,5587.63,,
E2280,Create PR,2024-09-02 08:04:54+00:00,User43,CC16,PR276,Purchase Requisition,3154.33,,
E2504,Create PR,2024-09-02 08:04:54+00:00,User17,CC6,PR304,Purchase Requisition,3862.51,,
E2598,Create PR,2024-09-02 08:04:54+00:00,User34,CC20,PR316,Purchase Requisition,8445.83,,
E2796,Create PR,2024-09-02 08:04:54+00:00,User18,CC19,PR338,Purchase Requisition,4103.22,,
E4127,Create PR,2024-09-02 08:04:55+00:00,User35,CC18,PR496,Purchase Requisition,6073.97,,
E4230,Create PR,2024-09-02 08:04:55+00:00,User16,CC3,PR509,Purchase Requisition,4692.9,,
E6297,Create PR,2024-09-02 08:04:56+00:00,User19,CC3,PR762,Purchase Requisition,7268.95,,
E6335,Create PR,2024-09-02 08:04:56+00:00,User38,CC5,PR767,Purchase Requisition,5263.99,,
E7331,Create PR,2024-09-02 08:04:57+00:00,User16,CC13,PR887,Purchase Requisition,5270.05,,
E8016,Create PR,2024-09-02 08:04:57+00:00,User29,CC13,PR967,Purchase Requisition,4664.41,,
E1056,Create PR,2024-09-02 08:05:53+00:00,User25,CC10,PR126,Purchase Requisition,4507.49,,
E612,Create PR,2024-09-02 08:05:53+00:00,User35,CC13,PR72,Purchase Requisition,4152.4,,
E666,Create PR,2024-09-02 08:05:53+00:00,User21,CC12,PR78,Purchase Requisition,6433.92,,
E1848,Create PR,2024-09-02 08:05:54+00:00,User18,CC6,PR221,Purchase Requisition,6125.08,,
E1902,Create PR,2024-09-02 08:05:54+00:00,User37,CC11,PR227,Purchase Requisition,6930.83,,
E2042,Create PR,2024-09-02 08:05:54+00:00,User12,CC9,PR248,Purchase Requisition,4397.44,,
E2392,Create PR,2024-09-02 08:05:54+00:00,User41,CC15,PR290,Purchase Requisition,8646.34,,
E2475,Create PR,2024-09-02 08:05:54+00:00,User50,CC5,PR300,Purchase Requisition,1477.18,,
E2937,Create PR,2024-09-02 08:05:54+00:00,User39,CC10,PR356,Purchase Requisition,4460.82,,
E3058,Create PR,2024-09-02 08:05:54+00:00,User26,CC18,PR371,Purchase Requisition,8885.56,,
E3103,Create PR,2024-09-02 08:05:54+00:00,User37,CC10,PR376,Purchase Requisition,8689.43,,
E3797,Create PR,2024-09-02 08:05:55+00:00,User1,CC7,PR457,Purchase Requisition,4868.86,,
E5132,Create PR,2024-09-02 08:05:55+00:00,User1,CC9,PR617,Purchase Requisition,6502.52,,
E5307,Create PR,2024-09-02 08:05:56+00:00,User21,CC11,PR638,Purchase Requisition,4892.31,,
E5325,Create PR,2024-09-02 08:05:56+00:00,User17,CC9,PR640,Purchase Requisition,4646.03,,
E5388,Create PR,2024-09-02 08:05:56+00:00,User29,CC3,PR647,Purchase Requisition,7163.78,,
E5643,Create PR,2024-09-02 08:05:56+00:00,User46,CC20,PR680,Purchase Requisition,6159.2,,
E5892,Create PR,2024-09-02 08:05:56+00:00,User37,CC10,PR710,Purchase Requisition,7041.11,,
E6058,Create PR,2024-09-02 08:05:56+00:00,User21,CC1,PR730,Purchase Requisition,6922.25,,
E6858,Create PR,2024-09-02 08:05:56+00:00,User40,CC19,PR829,Purchase Requisition,6238.43,,
E7022,Create PR,2024-09-02 08:05:57+00:00,User25,CC1,PR848,Purchase Requisition,3751.9,,
E7475,Create PR,2024-09-02 08:05:57+00:00,User21,CC13,PR903,Purchase Requisition,444.35,,
E7890,Create PR,2024-09-02 08:05:57+00:00,User2,CC1,PR953,Purchase Requisition,3561.16,,
E7953,Create PR,2024-09-02 08:05:57+00:00,User30,CC18,PR960,Purchase Requisition,6884.74,,
E127,Create PR,2024-09-02 08:06:53+00:00,User20,CC2,PR15,Purchase Requisition,7012.72,,
E309,Create PR,2024-09-02 08:06:53+00:00,User35,CC6,PR36,Purchase Requisition,4319.71,,
E585,Create PR,2024-09-02 08:06:53+00:00,User4,CC11,PR69,Purchase Requisition,5287.65,,
E2089,Create PR,2024-09-02 08:06:54+00:00,User44,CC20,PR254,Purchase Requisition,5513.96,,
E2136,Create PR,2024-09-02 08:06:54+00:00,User3,CC2,PR260,Purchase Requisition,4446.3,,
E2505,Reject PR,2024-09-02 08:06:54+00:00,Manager3,CC9,PR304,Purchase Requisition,3862.51,,
E2578,Create PR,2024-09-02 08:06:54+00:00,User46,CC16,PR313,Purchase Requisition,3340.33,,
E4659,Create PR,2024-09-02 08:06:55+00:00,User19,CC1,PR559,Purchase Requisition,7480.3,,
E5123,Create PR,2024-09-02 08:06:55+00:00,User27,CC5,PR616,Purchase Requisition,6665.96,,
E5442,Create PR,2024-09-02 08:06:56+00:00,User50,CC19,PR653,Purchase Requisition,4661.72,,
E6187,Create PR,2024-09-02 08:06:56+00:00,User20,CC17,PR749,Purchase Requisition,6750.41,,
E6270,Create PR,2024-09-02 08:06:56+00:00,User43,CC17,PR759,Purchase Requisition,4048.06,,
