event_id,event_type,timestamp,user,cost_center
E264,Create PR,2024-09-02T08:04:53Z,User17,CC11
E531,Create PR,2024-09-02T08:04:53Z,User42,CC15
E2244,Create PR,2024-09-02T08:04:54Z,User31,CC9
E2280,Create PR,2024-09-02T08:04:54Z,User43,CC16
E2504,Create PR,2024-09-02T08:04:54Z,User17,CC6
E2598,Create PR,2024-09-02T08:04:54Z,User34,CC20
E2796,Create PR,2024-09-02T08:04:54Z,User18,CC19
E4127,Create PR,2024-09-02T08:04:55Z,User35,CC18
E4230,Create PR,2024-09-02T08:04:55Z,User16,CC3
E6297,Create PR,2024-09-02T08:04:56Z,User19,CC3
E6335,Create PR,2024-09-02T08:04:56Z,User38,CC5
E7331,Create PR,2024-09-02T08:04:57Z,User16,CC13
E8016,Create PR,2024-09-02T08:04:57Z,User29,CC13
E612,Create PR,2024-09-02T08:05:53Z,User35,CC13
E666,Create PR,2024-09-02T08:05:53Z,User21,CC12
E1056,Create PR,2024-09-02T08:05:53Z,User25,CC10
E1848,Create PR,2024-09-02T08:05:54Z,User18,CC6
E1902,Create PR,2024-09-02T08:05:54Z,User37,CC11
E2042,Create PR,2024-09-02T08:05:54Z,User12,CC9
E2392,Create PR,2024-09-02T08:05:54Z,User41,CC15
E2475,Create PR,2024-09-02T08:05:54Z,User50,CC5
E2937,Create PR,2024-09-02T08:05:54Z,User39,CC10
E3058,Create PR,2024-09-02T08:05:54Z,User26,CC18
E3103,Create PR,2024-09-02T08:05:54Z,User37,CC10
E3797,Create PR,2024-09-02T08:05:55Z,User1,CC7
E5132,Create PR,2024-09-02T08:05:55Z,User1,CC9
E5307,Create PR,2024-09-02T08:05:56Z,User21,CC11
E5325,Create PR,2024-09-02T08:05:56Z,User17,CC9
E5388,Create PR,2024-09-02T08:05:56Z,User29,CC3
E5643,Create PR,2024-09-02T08:05:56Z,User46,CC20
E5892,Create PR,2024-09-02T08:05:56Z,User37,CC10
E6058,Create PR,2024-09-02T08:05:56Z,User21,CC1
E6858,Create PR,2024-09-02T08:05:56Z,User40,CC19
E7022,Create PR,2024-09-02T08:05:57Z,User25,CC1
E7475,Create PR,2024-09-02T08:05:57Z,User21,CC13
E7890,Create PR,2024-09-02T08:05:57Z,User2,CC1
E7953,Create PR,2024-09-02T08:05:57Z,User30,CC18
E127,Create PR,2024-09-02T08:06:53Z,User20,CC2
E309,Create PR,2024-09-02T08:06:53Z,User35,CC6
E585,Create PR,2024-09-02T08:06:53Z,User4,CC11
E2089,Create PR,2024-09-02T08:06:54Z,User44,CC20
E2136,Create PR,2024-09-02T08:06:54Z,User3,CC2
E2505,Reject PR,2024-09-02T08:06:54Z,Manager3,CC9
E2578,Create PR,2024-09-02T08:06:54Z,User46,CC16
E4659,Create PR,2024-09-02T08:06:55Z,User19,CC1
E5123,Create PR,2024-09-02T08:06:55Z,User27,CC5
E5442,Create PR,2024-09-02T08:06:56Z,User50,CC19
E6187,Create PR,2024-09-02T08:06:56Z,User20,CC17
E6270,Create PR,2024-09-02T08:06:56Z,User43,CC17
E6589,Create PR,2024-09-02T08:06:56Z,User36,CC10
E6932,Create PR,2024-09-02T08:06:57Z,User23,CC16
E8007,Create PR,2024-09-02T08:06:57Z,User22,CC15
E37,Create PR,2024-09-02T08:07:53Z,User29,CC12
E156,Create PR,2024-09-02T08:07:53Z,User22,CC17
E850,Create PR,2024-09-02T08:07:53Z,User16,CC17
E1177,Create PR,2024-09-02T08:07:53Z,User2,CC19
E1980,Create PR,2024-09-02T08:07:54Z,User17,CC17
E1991,Create PR,2024-09-02T08:07:54Z,User38,CC16
E2118,Create PR,2024-09-02T08:07:54Z,User3,CC3
E2163,Create PR,2024-09-02T08:07:54Z,User18,CC16
E2190,Create PR,2024-09-02T08:07:54Z,User1,CC19
E2679,Create PR,2024-09-02T08:07:54Z,User29,CC13
E2957,Create PR,2024-09-02T08:07:54Z,User50,CC11
E3303,Create PR,2024-09-02T08:07:54Z,User22,CC11
E4502,Create PR,2024-09-02T08:07:55Z,User28,CC12
E5493,Create PR,2024-09-02T08:07:56Z,User17,CC9
E5576,Create PR,2024-09-02T08:07:56Z,User15,CC19
E5937,Create PR,2024-09-02T08:07:56Z,User36,CC15
E5948,Create PR,2024-09-02T08:07:56Z,User11,CC11
E6067,Create PR,2024-09-02T08:07:56Z,User1,CC15
E7549,Create PR,2024-09-02T08:07:57Z,User48,CC1
E7569,Create PR,2024-09-02T08:07:57Z,User20,CC12
E7971,Create PR,2024-09-02T08:07:57Z,User42,CC15
E711,Create PR,2024-09-02T08:08:53Z,User17,CC13
E1339,Create PR,2024-09-02T08:08:53Z,User23,CC7
E1736,Create PR,2024-09-02T08:08:54Z,User30,CC3
E2901,Create PR,2024-09-02T08:08:54Z,User20,CC2
E3049,Create PR,2024-09-02T08:08:54Z,User2,CC1
E3112,Create PR,2024-09-02T08:08:54Z,User20,CC13
E3404,Create PR,2024-09-02T08:08:55Z,User36,CC4
E3698,Create PR,2024-09-02T08:08:55Z,User11,CC9
E3869,Create PR,2024-09-02T08:08:55Z,User11,CC9
E4183,Create PR,2024-09-02T08:08:55Z,User46,CC6
E4874,Create PR,2024-09-02T08:08:55Z,User12,CC12
E5096,Create PR,2024-09-02T08:08:55Z,User5,CC9
E5150,Create PR,2024-09-02T08:08:56Z,User12,CC13
E5159,Create PR,2024-09-02T08:08:56Z,User39,CC1
E5215,Create PR,2024-09-02T08:08:56Z,User34,CC1
E5361,Create PR,2024-09-02T08:08:56Z,User15,CC17
E6160,Create PR,2024-09-02T08:08:56Z,User23,CC7
E7340,Create PR,2024-09-02T08:08:57Z,User39,CC15
E7836,Create PR,2024-09-02T08:08:57Z,User37,CC12
E8099,Create PR,2024-09-02T08:08:57Z,User16,CC2
E19,Create PR,2024-09-02T08:09:53Z,User36,CC4
E109,Create PR,2024-09-02T08:09:53Z,User40,CC6
E1494,Create PR,2024-09-02T08:09:54Z,User17,CC16
E1676,Create PR,2024-09-02T08:09:54Z,User9,CC11
E2946,Create PR,2024-09-02T08:09:54Z,User26,CC11
E3040,Create PR,2024-09-02T08:09:54Z,User6,CC13
E3467,Create PR,2024-09-02T08:09:55Z,User19,CC20
E3534,Create PR,2024-09-02T08:09:55Z,User32,CC17
E3644,Create PR,2024-09-02T08:09:55Z,User22,CC5
E3952,Create PR,2024-09-02T08:09:55Z,User38,CC18
E4156,Create PR,2024-09-02T08:09:55Z,User10,CC7
E4466,Create PR,2024-09-02T08:09:55Z,User42,CC6
E4948,Create PR,2024-09-02T08:09:55Z,User11,CC18
E7412,Create PR,2024-09-02T08:09:57Z,User28,CC1
E7567,Create PR,2024-09-02T08:09:57Z,User22,CC9
E7755,Create PR,2024-09-02T08:09:57Z,User14,CC17
E7791,Create PR,2024-09-02T08:09:57Z,User34,CC13
E8100,Approve PR,2024-09-02T08:09:57Z,Manager6,CC19
E1,Create PR,2024-09-02T08:10:53Z,User34,CC2
E1213,Create PR,2024-09-02T08:10:53Z,User37,CC14
E1340,Approve PR,2024-09-02T08:10:53Z,Manager2,CC7
E1993,Create PR,2024-09-02T08:10:54Z,User9,CC8
E3050,Approve PR,2024-09-02T08:10:54Z,Manager4,CC2
E3431,Create PR,2024-09-02T08:10:55Z,User38,CC2
E3642,Create PR,2024-09-02T08:10:55Z,User11,CC20
E4778,Create PR,2024-09-02T08:10:55Z,User18,CC13
E6098,Create PR,2024-09-02T08:10:56Z,User15,CC16
E6232,Create PR,2024-09-02T08:10:56Z,User42,CC10
E6470,Create PR,2024-09-02T08:10:56Z,User27,CC9
E7349,Create PR,2024-09-02T08:10:57Z,User39,CC19
E8200,Create PR,2024-09-02T08:10:57Z,User5,CC3
E8238,Create PR,2024-09-02T08:10:57Z,User29,CC6
E8292,Create PR,2024-09-02T08:10:57Z,User11,CC8
E2145,Create PR,2024-09-02T08:11:54Z,User44,CC5
E3348,Create PR,2024-09-02T08:11:54Z,User31,CC16
E3860,Create PR,2024-09-02T08:11:55Z,User3,CC10
E5326,Approve PR,2024-09-02T08:11:56Z,Manager9,CC3
E5415,Create PR,2024-09-02T08:11:56Z,User29,CC3
E5502,Create PR,2024-09-02T08:11:56Z,User22,CC6
E6425,Create PR,2024-09-02T08:11:56Z,User40,CC13
E6802,Create PR,2024-09-02T08:11:56Z,User44,CC3
E7013,Create PR,2024-09-02T08:11:57Z,User9,CC15
E8108,Create PR,2024-09-02T08:11:57Z,User24,CC4
E991,Create PR,2024-09-02T08:12:53Z,User37,CC15
E1781,Create PR,2024-09-02T08:12:54Z,User31,CC10
E2347,Create PR,2024-09-02T08:12:54Z,User48,CC16
E3059,Approve PR,2024-09-02T08:12:54Z,Manager10,CC9
E3157,Create PR,2024-09-02T08:12:54Z,User6,CC18
E3193,Create PR,2024-09-02T08:12:54Z,User27,CC2
E4367,Create PR,2024-09-02T08:12:55Z,User34,CC13
E4503,Approve PR,2024-09-02T08:12:55Z,Manager3,CC18
E5362,Approve PR,2024-09-02T08:12:56Z,Manager2,CC11
E5556,Create PR,2024-09-02T08:12:56Z,User35,CC2
E5802,Create PR,2024-09-02T08:12:56Z,User9,CC7
E6004,Create PR,2024-09-02T08:12:56Z,User41,CC15
E6068,Reject PR,2024-09-02T08:12:56Z,Manager7,CC9
E6196,Create PR,2024-09-02T08:12:56Z,User35,CC10
E6914,Create PR,2024-09-02T08:12:57Z,User20,CC5
E7143,Create PR,2024-09-02T08:12:57Z,User18,CC6
E7625,Create PR,2024-09-02T08:12:57Z,User47,CC4
E7800,Create PR,2024-09-02T08:12:57Z,User26,CC4
E255,Create PR,2024-09-02T08:13:53Z,User37,CC18
E430,Create PR,2024-09-02T08:13:53Z,User28,CC16
E630,Create PR,2024-09-02T08:13:53Z,User9,CC11
E830,Create PR,2024-09-02T08:13:53Z,User8,CC15
E1065,Create PR,2024-09-02T08:13:53Z,User2,CC17
E1186,Create PR,2024-09-02T08:13:53Z,User17,CC12
E1249,Create PR,2024-09-02T08:13:53Z,User28,CC14
E1285,Create PR,2024-09-02T08:13:53Z,User44,CC2
E1694,Create PR,2024-09-02T08:13:54Z,User36,CC19
E2958,Approve PR,2024-09-02T08:13:54Z,Manager7,CC4
E3148,Create PR,2024-09-02T08:13:54Z,User3,CC16
E5015,Create PR,2024-09-02T08:13:55Z,User7,CC6
E5216,Approve PR,2024-09-02T08:13:56Z,Manager5,CC15
E5679,Create PR,2024-09-02T08:13:56Z,User37,CC20
E5874,Create PR,2024-09-02T08:13:56Z,User8,CC1
E5986,Create PR,2024-09-02T08:13:56Z,User42,CC5
E6107,Create PR,2024-09-02T08:13:56Z,User24,CC19
E8182,Create PR,2024-09-02T08:13:57Z,User5,CC19
E926,Create PR,2024-09-02T08:14:53Z,User33,CC16
E1357,Create PR,2024-09-02T08:14:53Z,User21,CC7
E1799,Create PR,2024-09-02T08:14:54Z,User2,CC11
E1810,Create PR,2024-09-02T08:14:54Z,User19,CC5
E2262,Create PR,2024-09-02T08:14:54Z,User32,CC4
E2919,Create PR,2024-09-02T08:14:54Z,User21,CC11
E3487,Create PR,2024-09-02T08:14:55Z,User26,CC17
E3833,Create PR,2024-09-02T08:14:55Z,User26,CC1
E4475,Create PR,2024-09-02T08:14:55Z,User7,CC15
E5033,Create PR,2024-09-02T08:14:55Z,User37,CC2
E5105,Create PR,2024-09-02T08:14:55Z,User2,CC3
E6140,Create PR,2024-09-02T08:14:56Z,User42,CC9
E7141,Create PR,2024-09-02T08:14:57Z,User18,CC10
E7154,Create PR,2024-09-02T08:14:57Z,User4,CC5
E7163,Create PR,2024-09-02T08:14:57Z,User44,CC3
E7266,Create PR,2024-09-02T08:14:57Z,User21,CC8
E7413,Approve PR,2024-09-02T08:14:57Z,Manager9,CC11
E7746,Create PR,2024-09-02T08:14:57Z,User47,CC2
E310,Approve PR,2024-09-02T08:15:53Z,Manager6,CC15
E1476,Create PR,2024-09-02T08:15:54Z,User50,CC19
E1718,Create PR,2024-09-02T08:15:54Z,User13,CC2
E1982,Create PR,2024-09-02T08:15:54Z,User38,CC14
E2289,Create PR,2024-09-02T08:15:54Z,User15,CC10
E2300,Create PR,2024-09-02T08:15:54Z,User30,CC15
E2428,Create PR,2024-09-02T08:15:54Z,User2,CC20
E2634,Create PR,2024-09-02T08:15:54Z,User4,CC12
E3175,Create PR,2024-09-02T08:15:54Z,User48,CC16
E3294,Create PR,2024-09-02T08:15:54Z,User30,CC2
E3543,Create PR,2024-09-02T08:15:55Z,User37,CC17
E3597,Create PR,2024-09-02T08:15:55Z,User30,CC15
E3699,Approve PR,2024-09-02T08:15:55Z,Manager1,CC15
E3761,Create PR,2024-09-02T08:15:55Z,User36,CC15
E4769,Create PR,2024-09-02T08:15:55Z,User1,CC18
E4930,Create PR,2024-09-02T08:15:55Z,User43,CC3
E5078,Create PR,2024-09-02T08:15:55Z,User16,CC14
E6022,Create PR,2024-09-02T08:15:56Z,User37,CC19
E6040,Create PR,2024-09-02T08:15:56Z,User30,CC2
E6151,Create PR,2024-09-02T08:15:56Z,User5,CC20
E6380,Create PR,2024-09-02T08:15:56Z,User37,CC19
E6416,Create PR,2024-09-02T08:15:56Z,User48,CC18
E6663,Create PR,2024-09-02T08:15:56Z,User1,CC1
E6728,Create PR,2024-09-02T08:15:56Z,User5,CC18
E6793,Create PR,2024-09-02T08:15:56Z,User13,CC4
E7014,Approve PR,2024-09-02T08:15:57Z,Manager4,CC2
E7192,Create PR,2024-09-02T08:15:57Z,User42,CC15
E7430,Create PR,2024-09-02T08:15:57Z,User3,CC18
E7944,Create PR,2024-09-02T08:15:57Z,User33,CC7
E8183,Approve PR,2024-09-02T08:15:57Z,Manager7,CC1
E1667,Create PR,2024-09-02T08:16:54Z,User21,CC17
E1811,Approve PR,2024-09-02T08:16:54Z,Manager10,CC16
E1949,Create PR,2024-09-02T08:16:54Z,User24,CC15
E4277,Create PR,2024-09-02T08:16:55Z,User39,CC9
E4448,Create PR,2024-09-02T08:16:55Z,User28,CC18
E4704,Create PR,2024-09-02T08:16:55Z,User28,CC9
E5397,Create PR,2024-09-02T08:16:56Z,User40,CC5
E6087,Create PR,2024-09-02T08:16:56Z,User25,CC9
E6654,Create PR,2024-09-02T08:16:56Z,User18,CC7
E7051,Create PR,2024-09-02T08:16:57Z,User19,CC9
E7069,Create PR,2024-09-02T08:16:57Z,User44,CC1
E8283,Create PR,2024-09-02T08:16:57Z,User19,CC17
E532,Approve PR,2024-09-02T08:17:53Z,Manager7,CC15
E756,Create PR,2024-09-02T08:17:53Z,User48,CC3
E1866,Create PR,2024-09-02T08:17:54Z,User24,CC19
E2199,Create PR,2024-09-02T08:17:54Z,User15,CC2
E2253,Create PR,2024-09-02T08:17:54Z,User50,CC3
E2271,Create PR,2024-09-02T08:17:54Z,User46,CC3
E2348,Approve PR,2024-09-02T08:17:54Z,Manager5,CC2
E3366,Create PR,2024-09-02T08:17:54Z,User43,CC3
E4109,Create PR,2024-09-02T08:17:55Z,User27,CC18
E4798,Create PR,2024-09-02T08:17:55Z,User1,CC8
E4977,Create PR,2024-09-02T08:17:55Z,User38,CC5
E5097,Approve PR,2024-09-02T08:17:55Z,Manager1,CC18
E5511,Create PR,2024-09-02T08:17:56Z,User16,CC9
E5708,Create PR,2024-09-02T08:17:56Z,User22,CC8
E6078,Create PR,2024-09-02T08:17:56Z,User22,CC8
E6268,Create PR,2024-09-02T08:17:56Z,User27,CC20
E6315,Create PR,2024-09-02T08:17:56Z,User42,CC5
E6326,Create PR,2024-09-02T08:17:56Z,User34,CC15
E7917,Create PR,2024-09-02T08:17:57Z,User39,CC11
E8239,Approve PR,2024-09-02T08:17:57Z,Manager5,CC8
E265,Approve PR,2024-09-02T08:18:53Z,Manager4,CC4
E394,Create PR,2024-09-02T08:18:53Z,User49,CC12
E675,Create PR,2024-09-02T08:18:53Z,User10,CC4
E693,Create PR,2024-09-02T08:18:53Z,User34,CC17
E747,Create PR,2024-09-02T08:18:53Z,User8,CC11
E1420,Create PR,2024-09-02T08:18:53Z,User28,CC20
E1700,Create PR,2024-09-02T08:18:54Z,User15,CC8
E2119,Approve PR,2024-09-02T08:18:54Z,Manager3,CC5
E2733,Create PR,2024-09-02T08:18:54Z,User47,CC7
E3395,Create PR,2024-09-02T08:18:55Z,User27,CC19
E3525,Create PR,2024-09-02T08:18:55Z,User28,CC18
E4028,Create PR,2024-09-02T08:18:55Z,User3,CC5
E4340,Create PR,2024-09-02T08:18:55Z,User38,CC13
E4439,Create PR,2024-09-02T08:18:55Z,User25,CC12
E4705,Approve PR,2024-09-02T08:18:55Z,Manager2,CC20
E5451,Create PR,2024-09-02T08:18:56Z,User32,CC18
E5762,Create PR,2024-09-02T08:18:56Z,User37,CC11
E5865,Create PR,2024-09-02T08:18:56Z,User50,CC5
E6069,Create PR,2024-09-02T08:18:56Z,User37,CC18
E6214,Create PR,2024-09-02T08:18:56Z,User24,CC15
E6269,Reject PR,2024-09-02T08:18:56Z,Manager1,CC16
E7132,Create PR,2024-09-02T08:18:57Z,User26,CC18
E7654,Create PR,2024-09-02T08:18:57Z,User20,CC18
E7728,Create PR,2024-09-02T08:18:57Z,User47,CC11
E7809,Create PR,2024-09-02T08:18:57Z,User39,CC16
E7980,Create PR,2024-09-02T08:18:57Z,User22,CC11
E8034,Create PR,2024-09-02T08:18:57Z,User50,CC20
E8135,Create PR,2024-09-02T08:18:57Z,User23,CC17
