object_id,object_type,total_amount,status
PO3411,Purchase Order,15486.820000000002,Created
GRN4125,Goods Receipt,,
Invoice8363,Invoice,,
Payment4833,Payment,,
PO751,Purchase Order,7406.88,Created
GRN7903,Goods Receipt,,
Invoice4687,Invoice,,
Payment350,Payment,,
PO7304,Purchase Order,6070.89,Created
GRN1832,Goods Receipt,,
Invoice687,Invoice,,
Payment1199,Payment,,
PO9809,Purchase Order,983.32,Created
GRN9607,Goods Receipt,,
Invoice9410,Invoice,,
Payment4959,Payment,,
PO9981,Purchase Order,22523.72,Created
GRN470,Goods Receipt,,
Invoice1571,Invoice,,
Payment3385,Payment,,
PO9506,Purchase Order,8012.09,Created
GRN4569,Goods Receipt,,
Invoice6071,Invoice,,
Payment6099,Payment,,
PO7204,Purchase Order,15103.41,Created
GRN4796,Goods Receipt,,
Invoice5613,Invoice,,
Payment706,Payment,,
PO6714,Purchase Order,2723.72,Created
GRN499,Goods Receipt,,
Invoice5206,Invoice,,
Payment290,Payment,,
PO1984,Purchase Order,4412.58,Created
GRN4364,Goods Receipt,,
Invoice5448,Invoice,,
Payment1110,Payment,,
PO7329,Purchase Order,3252.9,Created
GRN5125,Goods Receipt,,
Invoice1980,Invoice,,
Payment8086,Payment,,
PO8720,Purchase Order,6159.2,Created
GRN8463,Goods Receipt,,
Invoice9437,Invoice,,
Payment3231,Payment,,
PO1803,Purchase Order,15999.05,Created
GRN6871,Goods Receipt,,
Invoice5999,Invoice,,
Payment1504,Payment,,
PO8662,Purchase Order,11053.42,Created
GRN9762,Goods Receipt,,
Invoice6949,Invoice,,
Payment9880,Payment,,
PO1660,Purchase Order,27218.82,Created
GRN2216,Goods Receipt,,
Invoice567,Invoice,,
Payment3114,Payment,,
PO7594,Purchase Order,7838.87,Created
GRN85,Goods Receipt,,
Invoice8491,Invoice,,
Payment6910,Payment,,
PO2357,Purchase Order,8123.46,Created
GRN4398,Goods Receipt,,
Invoice5186,Invoice,,
Payment986,Payment,,
PO5353,Purchase Order,5826.62,Created
GRN2701,Goods Receipt,,
Invoice3067,Invoice,,
Payment8638,Payment,,
PO1800,Purchase Order,12062.2,Created
GRN4930,Goods Receipt,,
Invoice8686,Invoice,,
Payment9105,Payment,,
PO5791,Purchase Order,4947.31,Created
GRN5531,Goods Receipt,,
Invoice3405,Invoice,,
Payment3279,Payment,,
PO2691,Purchase Order,2070.78,Created
GRN2645,Goods Receipt,,
Invoice5468,Invoice,,
Payment539,Payment,,
PO9055,Purchase Order,11909.49,Created
GRN683,Goods Receipt,,
Invoice5006,Invoice,,
Payment759,Payment,,
PO143,Purchase Order,15685.87,Created
GRN311,Goods Receipt,,
Invoice2496,Invoice,,
Payment9772,Payment,,
PO310,Purchase Order,3970.81,Created
GRN439,Goods Receipt,,
Invoice6461,Invoice,,
Payment9262,Payment,,
PO83,Purchase Order,3749.24,Created
GRN7825,Goods Receipt,,
Invoice9926,Invoice,,
Payment8315,Payment,,
PO565,Purchase Order,4653.96,Created
GRN6365,Goods Receipt,,
Invoice4826,Invoice,,
Payment6441,Payment,,
PO9326,Purchase Order,29814.68,Created
GRN3939,Goods Receipt,,
Invoice9037,Invoice,,
Payment2299,Payment,,
PO7766,Purchase Order,5245.76,Created
GRN7325,Goods Receipt,,
Invoice6981,Invoice,,
Payment8757,Payment,,
PO1521,Purchase Order,12740.329999999998,Created
GRN2825,Goods Receipt,,
Invoice3257,Invoice,,
Payment2449,Payment,,
PO3704,Purchase Order,5595.46,Created
GRN4968,Goods Receipt,,
Invoice2509,Invoice,,
Payment9696,Payment,,
PO8512,Purchase Order,3457.05,Created
GRN3114,Goods Receipt,,
Invoice2139,Invoice,,
Payment373,Payment,,
PO7675,Purchase Order,13654.169999999998,Created
GRN4622,Goods Receipt,,
Invoice4781,Invoice,,
Payment5371,Payment,,
PO8937,Purchase Order,3201.07,Created
GRN7582,Goods Receipt,,
Invoice2403,Invoice,,
Payment346,Payment,,
PO6312,Purchase Order,2672.04,Created
GRN2293,Goods Receipt,,
Invoice5317,Invoice,,
Payment666,Payment,,
PO3211,Purchase Order,6609.24,Created
GRN2116,Goods Receipt,,
Invoice8524,Invoice,,
Payment3667,Payment,,
PO6416,Purchase Order,16145.919999999998,Created
GRN8386,Goods Receipt,,
Invoice1296,Invoice,,
Payment9235,Payment,,
PO7514,Purchase Order,4470.75,Created
GRN9600,Goods Receipt,,
Invoice7361,Invoice,,
Payment2012,Payment,,
PO8446,Purchase Order,6685.44,Created
GRN9108,Goods Receipt,,
Invoice3808,Invoice,,
Payment6595,Payment,,
PO8759,Purchase Order,13053.12,Created
GRN6776,Goods Receipt,,
Invoice4254,Invoice,,
Payment7308,Payment,,
PO7249,Purchase Order,2886.17,Created
GRN2378,Goods Receipt,,
Invoice4843,Invoice,,
Payment8026,Payment,,
PO1139,Purchase Order,26684.35,Created
GRN5645,Goods Receipt,,
Invoice4779,Invoice,,
Payment5883,Payment,,
PO8639,Purchase Order,19252.49,Created
GRN7960,Goods Receipt,,
Invoice6933,Invoice,,
Payment7897,Payment,,
PO3043,Purchase Order,9986.84,Created
GRN8382,Goods Receipt,,
Invoice2924,Invoice,,
Payment4058,Payment,,
PO7916,Purchase Order,3625.03,Created
GRN1898,Goods Receipt,,
Invoice6696,Invoice,,
Payment7245,Payment,,
PO5785,Purchase Order,7121.1,Created
GRN3310,Goods Receipt,,
Invoice9370,Invoice,,
Payment8503,Payment,,
PO9607,Purchase Order,10968.72,Created
GRN7541,Goods Receipt,,
Invoice4622,Invoice,,
Payment3046,Payment,,
GRN8996,Goods Receipt,,
Invoice8758,Invoice,,
Payment6678,Payment,,
PO1360,Purchase Order,3552.77,Created
GRN8749,Goods Receipt,,
Invoice5385,Invoice,,
Payment4772,Payment,,
PO4707,Purchase Order,3992.77,Created
GRN1632,Goods Receipt,,
Invoice6962,Invoice,,
Payment4016,Payment,,
PO162,Purchase Order,9253.93,Created
GRN8441,Goods Receipt,,
Invoice9989,Invoice,,
Payment8007,Payment,,
PO5040,Purchase Order,2297.13,Created
GRN9530,Goods Receipt,,
Invoice6703,Invoice,,
Payment6741,Payment,,
PO1858,Purchase Order,7843.94,Created
GRN5940,Goods Receipt,,
Invoice9570,Invoice,,
Payment6611,Payment,,
PO2896,Purchase Order,12332.52,Created
GRN4729,Goods Receipt,,
Invoice1554,Invoice,,
Payment5106,Payment,,
PO6495,Purchase Order,5135.79,Created
GRN5314,Goods Receipt,,
Invoice892,Invoice,,
Payment3516,Payment,,
PO2224,Purchase Order,2923.05,Created
GRN5477,Goods Receipt,,
Invoice3969,Invoice,,
Payment1174,Payment,,
PO215,Purchase Order,4895.59,Created
GRN1591,Goods Receipt,,
Invoice8068,Invoice,,
Payment7494,Payment,,
PO704,Purchase Order,26858.0,Created
GRN3315,Goods Receipt,,
Invoice7620,Invoice,,
Payment8012,Payment,,
PO9048,Purchase Order,16091.06,Created
GRN8544,Goods Receipt,,
Invoice698,Invoice,,
Payment8037,Payment,,
PO9880,Purchase Order,3357.08,Created
GRN8195,Goods Receipt,,
Invoice7474,Invoice,,
Payment2773,Payment,,
PO177,Purchase Order,5952.82,Created
GRN8179,Goods Receipt,,
Invoice7039,Invoice,,
Payment5305,Payment,,
PO3080,Purchase Order,4313.61,Created
GRN2313,Goods Receipt,,
Invoice4840,Invoice,,
Payment2901,Payment,,
PO4643,Purchase Order,4506.02,Created
GRN2795,Goods Receipt,,
Invoice64,Invoice,,
Payment6782,Payment,,
PO1025,Purchase Order,14292.579999999998,Created
GRN820,Goods Receipt,,
Invoice3498,Invoice,,
Payment5309,Payment,,
PO1077,Purchase Order,9173.65,Created
GRN1836,Goods Receipt,,
Invoice7938,Invoice,,
Payment9744,Payment,,
PO8186,Purchase Order,5693.14,Created
GRN8627,Goods Receipt,,
Invoice7373,Invoice,,
Payment2048,Payment,,
PO4259,Purchase Order,26888.57,Created
GRN3587,Goods Receipt,,
Invoice2467,Invoice,,
Payment6075,Payment,,
PO4807,Purchase Order,31574.91,Created
GRN1821,Goods Receipt,,
Invoice6994,Invoice,,
Payment3142,Payment,,
PO5936,Purchase Order,14218.0,Created
GRN3153,Goods Receipt,,
Invoice9194,Invoice,,
Payment7277,Payment,,
PO5795,Purchase Order,35712.31,Created
GRN5242,Goods Receipt,,
Invoice3062,Invoice,,
Payment4541,Payment,,
PO1562,Purchase Order,4257.73,Created
GRN7777,Goods Receipt,,
Invoice435,Invoice,,
Payment4768,Payment,,
PO2122,Purchase Order,3743.79,Created
GRN3862,Goods Receipt,,
Invoice6144,Invoice,,
PO1689,Purchase Order,4930.44,Created
GRN9998,Goods Receipt,,
Invoice5311,Invoice,,
Payment2331,Payment,,
PO566,Purchase Order,12121.55,Created
GRN570,Goods Receipt,,
Invoice6667,Invoice,,
Payment884,Payment,,
PO298,Purchase Order,7748.4,Created
GRN943,Goods Receipt,,
Invoice3003,Invoice,,
Payment3809,Payment,,
PO4465,Purchase Order,6433.92,Created
GRN6401,Goods Receipt,,
Invoice7256,Invoice,,
Payment7971,Payment,,
PO2196,Purchase Order,2135.45,Created
GRN1932,Goods Receipt,,
Invoice3991,Invoice,,
Payment2461,Payment,,
PO3101,Purchase Order,5555.61,Created
GRN2469,Goods Receipt,,
Invoice5473,Invoice,,
Payment807,Payment,,
PO3297,Purchase Order,26195.14,Created
GRN1517,Goods Receipt,,
Invoice4440,Invoice,,
Payment7880,Payment,,
PO700,Purchase Order,32931.67,Created
GRN9054,Goods Receipt,,
Invoice1869,Invoice,,
Payment6745,Payment,,
PO2766,Purchase Order,6304.54,Created
GRN8540,Goods Receipt,,
Invoice7716,Invoice,,
Payment9270,Payment,,
PO308,Purchase Order,22395.699999999997,Created
GRN2308,Goods Receipt,,
Invoice6621,Invoice,,
Payment9455,Payment,,
PO259,Purchase Order,18401.04,Created
GRN9972,Goods Receipt,,
Invoice4261,Invoice,,
Payment4706,Payment,,
PO2874,Purchase Order,2667.13,Created
GRN565,Goods Receipt,,
Invoice7721,Invoice,,
Payment813,Payment,,
PO9525,Purchase Order,2346.34,Created
GRN8125,Goods Receipt,,
Invoice1033,Invoice,,
Payment3265,Payment,,
PO1679,Purchase Order,9549.87,Created
GRN5060,Goods Receipt,,
Invoice9422,Invoice,,
Payment8553,Payment,,
PO874,Purchase Order,4686.139999999999,Created
GRN6432,Goods Receipt,,
Invoice8500,Invoice,,
Payment9552,Payment,,
PO9296,Purchase Order,4880.96,Created
GRN9922,Goods Receipt,,
Invoice5499,Invoice,,
Payment8360,Payment,,
PO5283,Purchase Order,17446.95,Created
GRN3036,Goods Receipt,,
Invoice8498,Invoice,,
Payment6426,Payment,,
PO1952,Purchase Order,4399.17,Created
GRN6238,Goods Receipt,,
Invoice7772,Invoice,,
Payment5907,Payment,,
