case_id,po_id,pr_count,pr_ids,supplier_count,supplier_ids,goods_receipt_count,goods_receipt_ids,invoice_count,invoice_ids,payment_count,payment_ids,match_result
PO3411,PO3411,3,PR1;PR217;PR3,1,Supplier14,1,GRN4125,1,Invoice8363,1,Payment4833,Successful
PO751,PO751,1,PR2,1,Supplier46,1,GRN7903,1,Invoice4687,1,Payment350,Successful
PO7304,PO7304,1,PR3,1,Supplier49,1,GRN1832,1,Invoice687,1,Payment1199,Successful
PO9809,PO9809,1,PR4,1,Supplier34,1,GRN9607,1,Invoice9410,1,Payment4959,Successful
PO9981,PO9981,5,PR396;PR5;PR517;PR858;PR914,1,Supplier6,1,GRN470,1,Invoice1571,1,Payment3385,Successful
PO9506,PO9506,1,PR6,1,Supplier39,1,GRN4569,1,Invoice6071,1,Payment6099,Mismatch
PO7204,PO7204,5,PR207;PR225;PR309;PR636;PR7,1,Supplier23,1,GRN4796,1,Invoice5613,1,Payment706,Successful
PO6714,PO6714,4,PR154;PR643;PR741;PR8,2,Supplier13;Supplier39,2,GRN499;GRN8481,2,Invoice5206;Invoice5633,2,Payment290;Payment4351,Successful
PO1984,PO1984,1,PR9,1,Supplier47,1,GRN4364,1,Invoice5448,1,Payment1110,Successful
PO7329,PO7329,1,PR10,1,Supplier28,1,GRN5125,1,Invoice1980,1,Payment8086,Mismatch
PO8720,PO8720,3,PR11;PR233;PR680,2,Supplier49;Supplier5,2,GRN100;GRN8463,2,Invoice1992;Invoice9437,3,Payment3231;Payment7182;Payment9645,Successful
PO1803,PO1803,4,PR12;PR154;PR361;PR467,1,Supplier45,1,GRN6871,1,Invoice5999,1,Payment1504,Successful
PO8662,PO8662,2,PR13;PR328,1,Supplier49,1,GRN9762,1,Invoice6949,1,Payment9880,Successful
PO1660,PO1660,4,PR104;PR14;PR296;PR645,1,Supplier1,1,GRN2216,1,Invoice567,1,Payment3114,Successful
PO7594,PO7594,2,PR15;PR77,1,Supplier20,1,GRN85,1,Invoice8491,1,Payment6910,Successful
PO2357,PO2357,1,PR17,1,Supplier31,1,GRN4398,1,Invoice5186,1,Payment986,Successful
PO5353,PO5353,1,PR18,1,Supplier24,1,GRN2701,1,Invoice3067,1,Payment8638,Successful
PO1800,PO1800,4,PR129;PR19;PR229;PR286,1,Supplier2,1,GRN4930,1,Invoice8686,1,Payment9105,Successful
PO5791,PO5791,1,PR20,1,Supplier46,1,GRN5531,1,Invoice3405,1,Payment3279,Successful
PO2691,PO2691,1,PR21,1,Supplier9,1,GRN2645,1,Invoice5468,1,Payment539,Mismatch
PO9055,PO9055,2,PR22;PR446,1,Supplier48,1,GRN683,1,Invoice5006,2,Payment3750;Payment759,Successful
PO143,PO143,3,PR23;PR283;PR354,1,Supplier43,1,GRN311,1,Invoice2496,1,Payment9772,Successful
PO310,PO310,1,PR24,1,Supplier3,1,GRN439,1,Invoice6461,1,Payment9262,Successful
PO83,PO83,1,PR25,1,Supplier3,1,GRN7825,1,Invoice9926,2,Payment3715;Payment8315,Successful
PO565,PO565,1,PR26,1,Supplier19,1,GRN6365,1,Invoice4826,1,Payment6441,Successful
PO9326,PO9326,5,PR27;PR279;PR283;PR44;PR795,1,Supplier10,1,GRN3939,1,Invoice9037,1,Payment2299,Successful
PO7766,PO7766,1,PR28,1,Supplier18,1,GRN7325,1,Invoice6981,1,Payment8757,Successful
PO1521,PO1521,3,PR29;PR4;PR879,1,Supplier37,1,GRN2825,1,Invoice3257,1,Payment2449,Successful
PO3704,PO3704,1,PR30,1,Supplier8,1,GRN4968,1,Invoice2509,1,Payment9696,Successful
PO8512,PO8512,2,PR31;PR713,2,Supplier49;Supplier8,2,GRN3114;GRN9009,2,Invoice2139;Invoice4404,2,Payment373;Payment7788,Successful + Mismatch
PO7675,PO7675,3,PR113;PR32;PR528,1,Supplier31,1,GRN4622,1,Invoice4781,1,Payment5371,Successful
PO8937,PO8937,1,PR33,1,Supplier34,1,GRN7582,1,Invoice2403,1,Payment346,Successful
PO6312,PO6312,1,PR34,1,Supplier42,1,GRN2293,1,Invoice5317,1,Payment666,Successful
PO3211,PO3211,1,PR35,1,Supplier32,1,GRN2116,1,Invoice8524,1,Payment3667,Mismatch
PO6416,PO6416,3,PR36;PR630;PR961,1,Supplier17,1,GRN8386,1,Invoice1296,1,Payment9235,Successful
PO7514,PO7514,1,PR37,1,Supplier2,1,GRN9600,1,Invoice7361,1,Payment2012,Successful
PO8446,PO8446,1,PR38,1,Supplier2,1,GRN9108,1,Invoice3808,1,Payment6595,Successful
PO8759,PO8759,2,PR39;PR721,1,Supplier17,1,GRN6776,1,Invoice4254,1,Payment7308,Successful
PO7249,PO7249,1,PR40,1,Supplier5,1,GRN2378,1,Invoice4843,1,Payment8026,Successful
PO1139,PO1139,10,PR108;PR369;PR43;PR49;PR637;PR737;PR765;PR809;PR859;PR911,2,Supplier36;Supplier45,2,GRN5645;GRN8996,2,Invoice4779;Invoice8758,3,Payment2975;Payment5883;Payment6678,Successful
PO8639,PO8639,3,PR381;PR44;PR809,1,Supplier36,1,GRN7960,1,Invoice6933,1,Payment7897,Mismatch
PO3043,PO3043,2,PR45;PR780,1,Supplier41,1,GRN8382,1,Invoice2924,1,Payment4058,Successful
PO7916,PO7916,1,PR46,1,Supplier46,1,GRN1898,1,Invoice6696,1,Payment7245,Successful
PO5785,PO5785,1,PR47,1,Supplier37,1,GRN3310,1,Invoice9370,2,Payment3125;Payment8503,Successful
PO9607,PO9607,2,PR111;PR48,1,Supplier44,1,GRN7541,1,Invoice4622,1,Payment3046,Successful
PO1360,PO1360,1,PR50,1,Supplier8,1,GRN8749,1,Invoice5385,1,Payment4772,Successful
PO4707,PO4707,1,PR51,1,Supplier32,1,GRN1632,1,Invoice6962,1,Payment4016,Successful
PO162,PO162,1,PR52,1,Supplier38,1,GRN8441,1,Invoice9989,1,Payment8007,Successful
PO5040,PO5040,1,PR53,1,Supplier1,1,GRN9530,1,Invoice6703,1,Payment6741,Successful
PO1858,PO1858,1,PR54,1,Supplier7,1,GRN5940,1,Invoice9570,1,Payment6611,Successful
PO2896,PO2896,4,PR142;PR55;PR794;PR82,1,Supplier19,1,GRN4729,1,Invoice1554,1,Payment5106,Successful
PO6495,PO6495,1,PR57,1,Supplier12,1,GRN5314,1,Invoice892,1,Payment3516,Successful
PO2224,PO2224,1,PR58,1,Supplier1,1,GRN5477,1,Invoice3969,1,Payment1174,Successful
PO215,PO215,1,PR59,1,Supplier47,1,GRN1591,1,Invoice8068,1,Payment7494,Successful
PO704,PO704,6,PR266;PR60;PR657;PR699;PR717;PR847,1,Supplier38,1,GRN3315,1,Invoice7620,1,Payment8012,Successful
PO9048,PO9048,2,PR316;PR61,1,Supplier35,1,GRN8544,1,Invoice698,1,Payment8037,Successful
PO9880,PO9880,1,PR62,1,Supplier23,1,GRN8195,1,Invoice7474,1,Payment2773,Successful
PO177,PO177,1,PR63,1,Supplier45,1,GRN8179,1,Invoice7039,1,Payment5305,Successful
PO3080,PO3080,1,PR64,1,Supplier25,1,GRN2313,1,Invoice4840,1,Payment2901,Successful
PO4643,PO4643,1,PR65,1,Supplier27,1,GRN2795,1,Invoice64,1,Payment6782,Successful
PO1025,PO1025,3,PR318;PR66;PR854,1,Supplier18,1,GRN820,1,Invoice3498,1,Payment5309,Successful
PO1077,PO1077,1,PR67,1,Supplier5,1,GRN1836,1,Invoice7938,2,Payment8012;Payment9744,Successful
PO8186,PO8186,1,PR68,1,Supplier36,1,GRN8627,1,Invoice7373,1,Payment2048,Mismatch
PO4259,PO4259,5,PR354;PR69;PR778;PR884;PR930,1,Supplier46,1,GRN3587,1,Invoice2467,1,Payment6075,Successful
PO4807,PO4807,5,PR139;PR161;PR505;PR70;PR987,1,Supplier20,1,GRN1821,1,Invoice6994,1,Payment3142,Mismatch
PO5936,PO5936,3,PR51;PR71;PR749,1,Supplier43,1,GRN3153,1,Invoice9194,1,Payment7277,Successful
PO5795,PO5795,6,PR442;PR453;PR515;PR667;PR72;PR876,1,Supplier42,1,GRN5242,1,Invoice3062,1,Payment4541,Successful
PO1562,PO1562,1,PR73,1,Supplier13,1,GRN7777,1,Invoice435,1,Payment4768,Successful
PO2122,PO2122,1,PR74,1,Supplier6,1,GRN3862,1,Invoice6144,1,Payment9772,Mismatch
PO1689,PO1689,1,PR75,1,Supplier21,1,GRN9998,1,Invoice5311,1,Payment2331,Successful
PO566,PO566,2,PR281;PR76,1,Supplier1,1,GRN570,1,Invoice6667,1,Payment884,Successful
PO298,PO298,2,PR730;PR77,1,Supplier27,1,GRN943,1,Invoice3003,1,Payment3809,Successful
PO4465,PO4465,1,PR78,1,Supplier17,1,GRN6401,1,Invoice7256,1,Payment7971,Successful
PO2196,PO2196,1,PR79,1,Supplier11,1,GRN1932,1,Invoice3991,1,Payment2461,Successful
PO3101,PO3101,1,PR80,1,Supplier22,1,GRN2469,1,Invoice5473,1,Payment807,Successful
PO3297,PO3297,5,PR470;PR480;PR50;PR81;PR922,1,Supplier28,1,GRN1517,1,Invoice4440,1,Payment7880,Successful
PO700,PO700,6,PR302;PR43;PR578;PR708;PR82;PR868,1,Supplier12,1,GRN9054,1,Invoice1869,1,Payment6745,Successful
PO2766,PO2766,1,PR83,1,Supplier43,1,GRN8540,1,Invoice7716,1,Payment9270,Successful
PO308,PO308,4,PR715;PR84;PR931;PR941,1,Supplier2,1,GRN2308,1,Invoice6621,1,Payment9455,Successful
PO259,PO259,5,PR370;PR545;PR85;PR924;PR969,1,Supplier43,1,GRN9972,1,Invoice4261,1,Payment4706,Successful
PO2874,PO2874,1,PR86,1,Supplier18,1,GRN565,1,Invoice7721,1,Payment813,Successful
PO9525,PO9525,1,PR87,1,Supplier50,1,GRN8125,1,Invoice1033,1,Payment3265,Successful
PO1679,PO1679,1,PR88,1,Supplier32,1,GRN5060,1,Invoice9422,1,Payment8553,Successful
PO874,PO874,2,PR700;PR89,1,Supplier46,1,GRN6432,1,Invoice8500,1,Payment9552,Successful
PO9296,PO9296,2,PR796;PR90,2,Supplier26;Supplier6,2,GRN9767;GRN9922,2,Invoice2143;Invoice5499,2,Payment8360;Payment9855,Successful + Mismatch
