case_id,po_id,pr_count,pr_ids,supplier_count,supplier_ids,goods_receipt_count,goods_receipt_ids,invoice_count,invoice_ids,payment_count,payment_ids,start_time,end_time,total_processing_time_hours,pr_to_po_hours,po_approval_hours,approval_to_supplier_hours,supplier_to_goods_hours,goods_to_invoice_hours,invoice_to_match_hours,match_to_payment_hours,rejection_count,match_result
PO3411,PO3411,3,PR1;PR217;PR3,1,Supplier14,1,GRN4125,1,Invoice8363,1,Payment4833,2024-09-02 08:09:53+00:00,2024-09-12 10:45:53+00:00,242.6,1.05,0.433,0.833,24.0,24.0,0.283,192.0,0,Successful
PO751,PO751,1,PR2,1,Supplier46,1,GRN7903,1,Invoice4687,1,Payment350,2024-09-02 09:00:53+00:00,2024-09-14 10:51:53+00:00,289.85,1.383,0.083,0.017,96.0,24.0,0.367,168.0,0,Successful
PO7304,PO7304,1,PR3,1,Supplier49,1,GRN1832,1,Invoice687,1,Payment1199,2024-09-02 08:09:53+00:00,2024-09-08 10:55:53+00:00,146.767,0.85,0.8,0.933,48.0,72.0,0.183,24.0,0,Successful
PO9809,PO9809,1,PR4,1,Supplier34,1,GRN9607,1,Invoice9410,1,Payment4959,2024-09-02 08:58:53+00:00,2024-09-10 11:13:53+00:00,194.25,0.833,0.617,0.583,120.0,48.0,0.217,24.0,0,Successful
PO9981,PO9981,5,PR396;PR5;PR517;PR858;PR914,1,Supplier6,1,GRN470,1,Invoice1571,1,Payment3385,2024-09-02 08:07:53+00:00,2024-09-11 10:31:53+00:00,218.4,1.35,0.4,0.217,48.0,48.0,0.433,120.0,1,Successful
PO9506,PO9506,1,PR6,1,Supplier39,1,GRN4569,1,Invoice6071,1,Payment6099,2024-09-02 08:40:53+00:00,2024-09-17 10:54:53+00:00,362.233,0.65,0.667,0.667,96.0,24.0,0.25,240.0,0,Mismatch
PO7204,PO7204,5,PR207;PR225;PR309;PR636;PR7,1,Supplier23,1,GRN4796,1,Invoice5613,1,Payment706,2024-09-02 08:08:54+00:00,2024-09-08 10:57:53+00:00,146.816,1.366,0.333,0.867,24.0,24.0,0.25,96.0,0,Successful
PO6714,PO6714,4,PR154;PR643;PR741;PR8,2,Supplier13;Supplier39,2,GRN499;GRN8481,2,Invoice5206;Invoice5633,2,Payment290;Payment4351,2024-09-02 08:25:56+00:00,2024-09-09 10:38:56+00:00,170.217,1.0,0.167,0.15,72.0,48.0,0.9,48.0,1,Successful
PO1984,PO1984,1,PR9,1,Supplier47,1,GRN4364,1,Invoice5448,1,Payment1110,2024-09-02 09:03:53+00:00,2024-09-12 11:54:53+00:00,242.85,1.117,0.433,0.55,96.0,24.0,0.75,120.0,0,Successful
PO7329,PO7329,1,PR10,1,Supplier28,1,GRN5125,1,Invoice1980,1,Payment8086,2024-09-02 08:41:53+00:00,2024-09-14 10:58:53+00:00,290.283,1.05,0.833,0.283,24.0,24.0,0.117,240.0,0,Mismatch
PO8720,PO8720,3,PR11;PR233;PR680,2,Supplier49;Supplier5,2,GRN100;GRN8463,2,Invoice1992;Invoice9437,3,Payment3231;Payment7182;Payment9645,2024-09-02 08:05:56+00:00,2024-09-07 10:50:54+00:00,122.749,0.8,0.633,0.449,48.551,24.0,0.667,47.649,0,Successful
PO1803,PO1803,4,PR12;PR154;PR361;PR467,1,Supplier45,1,GRN6871,1,Invoice5999,1,Payment1504,2024-09-02 08:43:55+00:00,2024-09-14 12:15:53+00:00,291.533,2.083,0.467,0.317,48.0,48.0,0.667,192.0,0,Successful
